Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
2001-07-24,3400,3510,3400,3470,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,21483650,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
2001-07-25,3460,3590,3440,3570,2.88%,N/A,N/A,N/A,3545,3462,3435,20909100,N/A,N/A,N/A,602568,N/A,N/A,N/A,N/A,20909100
2001-07-26,3590,3650,3590,3630,1.68%,N/A,N/A,N/A,3655,3542,3505,21867100,N/A,N/A,N/A,970082,N/A,N/A,N/A,N/A,42776200
2001-07-27,3730,3790,3690,3710,2.20%,N/A,N/A,N/A,3670,3625,3610,28802250,N/A,N/A,N/A,1604842,N/A,N/A,N/A,N/A,71578450
2001-07-30,3760,3780,3690,3710,0.00%,3618,N/A,N/A,3750,3725,3650,20055450,22623510,N/A,N/A,1604842,N/A,N/A,N/A,N/A,71578450
2001-07-31,3740,3810,3720,3790,2.16%,3682,N/A,N/A,3745,3722,3655,22233200,22773420,N/A,N/A,2084264,N/A,N/A,N/A,N/A,93811650
2001-08-01,3830,3990,3810,3960,4.49%,3760,N/A,N/A,3845,3778,3755,57879150,30167430,N/A,N/A,4680427,N/A,N/A,N/A,N/A,151690800
2001-08-02,4020,4040,3880,3910,-1.26%,3816,N/A,N/A,4065,3930,3885,31792000,32152410,N/A,N/A,4279013,N/A,N/A,N/A,N/A,119898800
2001-08-03,4000,4020,3950,3990,2.05%,3872,N/A,N/A,3975,3935,3815,32797050,32951370,N/A,N/A,4950052,N/A,N/A,N/A,N/A,152695850
2001-08-06,3930,4000,3900,3980,-0.25%,3926,N/A,N/A,4005,3988,3935,16130550,32166390,N/A,N/A,4909625,N/A,N/A,N/A,N/A,136565300
2001-08-07,3880,3900,3810,3860,-3.02%,3940,N/A,N/A,4040,3965,3940,22089050,32137560,N/A,N/A,4243623,N/A,N/A,111.24,N/A,114476250
2001-08-08,3820,3840,3740,3800,-1.55%,3908,N/A,N/A,3880,3858,3790,13409000,23243530,N/A,N/A,4035193,N/A,N/A,106.44,N/A,101067250
2001-08-09,3690,3730,3660,3660,-3.68%,3858,N/A,N/A,3820,3795,3720,29170550,22719240,N/A,N/A,2960489,N/A,N/A,100.83,N/A,71896700
2001-08-10,3710,3780,3710,3730,1.91%,3806,N/A,N/A,3695,3678,3625,11583050,18476440,N/A,N/A,3182022,N/A,N/A,100.54,N/A,83479750
2001-08-13,3770,3830,3750,3830,2.68%,3776,N/A,N/A,3790,3738,3720,18644900,18979310,N/A,N/A,3681886,N/A,N/A,103.23,N/A,102124650
2001-08-14,3900,3960,3870,3950,3.13%,3794,N/A,N/A,3870,3810,3790,21220250,18805550,N/A,N/A,4346750,N/A,N/A,104.22,N/A,123344900
2001-08-16,3840,3900,3820,3900,-1.27%,3814,N/A,N/A,4000,3932,3910,18332250,19790200,N/A,N/A,4114696,N/A,N/A,98.48,N/A,105012650
2001-08-17,3900,3960,3870,3920,0.51%,3866,N/A,N/A,3940,3880,3860,17747650,17505620,N/A,N/A,4205710,N/A,N/A,100.26,N/A,122760300
2001-08-20,3800,3830,3780,3800,-3.06%,3880,N/A,N/A,3985,3918,3895,9438550,17076720,N/A,N/A,3916774,N/A,N/A,95.24,N/A,113321750
2001-08-21,3820,3850,3700,3720,-2.11%,3858,3794,N/A,3825,3802,3775,21736250,17694990,22866050,N/A,3459169,N/A,58.28,93.47,N/A,91585500
2001-08-22,3630,3850,3630,3850,3.49%,3838,3814,N/A,3785,3748,3635,21772450,17805430,22880490,N/A,4220034,N/A,61.75,99.74,N/A,113357950
2001-08-23,3870,3910,3800,3850,0.00%,3828,3828,N/A,3960,3795,3740,14947700,17128520,22582420,N/A,4220034,N/A,61.75,101.32,N/A,113357950
2001-08-24,3840,3880,3780,3840,-0.26%,3812,3838,N/A,3880,3852,3770,7517750,15082540,21864952,N/A,4200508,N/A,61.32,104.92,N/A,105840200
2001-08-27,3960,4020,3920,3980,3.65%,3848,3852,N/A,3890,3835,3790,37955400,20785910,22322610,N/A,5584298,N/A,64.98,106.7,N/A,143795600
2001-08-28,4000,4000,3930,3940,-1.01%,3892,3863,N/A,4050,3975,3950,20536650,20545990,22346670,N/A,5377900,N/A,63.18,102.87,N/A,123258950
2001-08-29,3900,3970,3860,3930,-0.25%,3908,3870,N/A,3970,3952,3900,19139350,20019370,22191978,N/A,5329323,N/A,62.72,99.49,N/A,104119600
2001-08-30,3840,3940,3840,3920,-0.25%,3922,3868,N/A,4005,3922,3895,12588850,19547600,19927462,N/A,5297290,N/A,62.24,100.51,N/A,91530750
2001-08-31,3860,3880,3750,3800,-3.06%,3914,3862,N/A,3980,3905,3880,25848000,23213650,19630262,N/A,4506025,N/A,56.75,96.94,N/A,65682750
2001-09-03,3810,3820,3750,3760,-1.05%,3870,3851,N/A,3840,3808,3710,10451000,17712770,18512960,N/A,4396014,N/A,55.05,98.95,N/A,55231750
2001-09-04,3760,3940,3750,3930,4.52%,3868,3848,N/A,3790,3772,3720,18778000,17361040,18645332,N/A,5245020,N/A,60.39,105.65,71.77,74009750
2001-09-05,3840,3850,3750,3790,-3.56%,3840,3845,N/A,4030,3888,3840,21022150,17737600,18591988,N/A,4496139,0.83,54.73,98.44,64.65,52987600
2001-09-06,3800,3850,3760,3770,-0.53%,3810,3844,N/A,3820,3795,3720,17494100,18718650,18796242,N/A,4403822,0.42,53.97,97.92,58,35493500
2001-09-07,3760,3820,3690,3820,1.33%,3814,3852,N/A,3810,3788,3720,22839900,18117030,18479710,N/A,4706738,0.35,55.6,99.48,56.78,58333400
2001-09-10,3770,3830,3730,3830,0.26%,3828,3856,N/A,3885,3788,3755,14003600,18827550,18600738,N/A,4743397,0.13,55.93,96.23,52.36,72337000
2001-09-11,3800,3850,3720,3740,-2.35%,3790,3852,N/A,3880,3805,3780,15810000,18233950,18458992,N/A,4371883,-0.28,52.25,94.92,45,56527000
2001-09-12,3200,3460,3200,3230,-13.64%,3678,3816,N/A,3795,3762,3665,84972300,31023980,21646595,N/A,-7215249,-1.4,37.47,82.19,30.29,-28445300
2001-09-13,3360,3460,3320,3430,6.19%,3610,3792,N/A,3475,3280,3215,59748950,39474950,23717430,N/A,-3515624,-1.95,44.02,87.5,26.18,31303650
2001-09-14,3440,3450,3290,3390,-1.17%,3524,3766,N/A,3515,3410,3375,33179300,41542830,24489012,N/A,-3902554,-2.5,43.07,89.21,22.97,-1875650
2001-09-17,3300,3360,3240,3280,-3.24%,3414,3740,N/A,3420,3380,3260,28452650,44432640,25439718,N/A,-4825797,-2.88,40.53,87.23,21.24,-30328300
2001-09-18,3390,3400,3300,3350,2.13%,3336,3722,N/A,3320,3290,3200,24872200,46245080,25596515,N/A,-4294988,-3.3,42.8,85.24,19.62,-5456100
2001-09-19,3300,3340,3260,3280,-2.09%,3346,3693,N/A,3375,3350,3275,21559000,33562420,25585842,N/A,-4745474,-3.95,41.14,86.54,17.52,-27015100
2001-09-20,3200,3200,3030,3080,-6.10%,3276,3654,N/A,3310,3290,3230,61383600,33889350,27907638,N/A,-8488377,-4.92,36.83,81.7,14.47,-88398700
2001-09-21,2900,2940,2790,2850,-7.47%,3168,3605,N/A,3140,3098,2970,65418150,40337120,30802658,N/A,-13373498,-6.4,32.68,74.61,9.66,-153816850
2001-09-24,2810,2960,2810,2960,3.86%,3104,3554,N/A,2895,2858,2745,56980750,46042740,31753925,N/A,-11174241,-7.84,36.31,77.28,5.05,-96836100
2001-09-25,3060,3070,2860,2860,-3.38%,3006,3500,N/A,3035,2922,2885,42069050,49482110,32830545,N/A,-12595493,-9.14,34.52,76.47,3.07,-138905150
2001-09-26,2820,2870,2790,2830,-1.05%,2916,3445,N/A,2965,2912,2755,33278500,51826010,33537502,N/A,-12944568,-9.72,33.99,87.62,2.92,-172183650
2001-09-27,2760,2810,2680,2810,-0.71%,2862,3390,N/A,2890,2830,2810,36500500,46849390,34733085,N/A,-13202522,-10.63,33.63,81.92,2.48,-208684150
2001-09-28,2880,2900,2780,2800,-0.36%,2852,3340,N/A,2875,2778,2745,47285750,43222910,35804972,N/A,-13370799,-11.33,33.44,82.6,2.35,-255969900
2001-10-04,3000,3000,2860,2910,3.93%,2842,3297,N/A,2850,2820,2730,64928600,44812480,38528852,N/A,-10820032,-11.84,37.5,88.72,2.26,-191041300
2001-10-05,2920,2970,2870,2950,1.37%,2860,3248,N/A,2955,2920,2815,40039150,44406500,39591910,N/A,-10269666,-12.72,38.94,88.06,0,-151002150
2001-10-08,2940,2960,2890,2920,-1.02%,2878,3204,N/A,3010,2935,2910,19937350,41738270,39537670,N/A,-10472419,-13.23,38.24,89.02,0,-170939500
2001-10-09,2960,3060,2960,3030,3.77%,2922,3168,N/A,2940,2922,2870,39632850,42364740,40644608,N/A,-8979401,-13.33,42.22,98.38,0,-131306650
2001-10-10,2990,3010,2960,2980,-1.65%,2958,3126,N/A,3095,3020,2995,16855950,36278780,40345410,N/A,-9257552,-13.3,40.96,104.56,1.32,-148162600
2001-10-11,3080,3200,3070,3180,6.71%,3012,3093,N/A,2995,2982,2945,58171950,34927450,42553828,N/A,-5353394,-12.97,47.59,107.43,3.53,-89990650
2001-10-12,3320,3340,3250,3260,2.52%,3074,3069,N/A,3255,3158,3125,47269250,36373470,44126790,N/A,-4164230,-12.31,49.97,113.99,7.41,-42721400
2001-10-15,3200,3240,3180,3200,-1.84%,3130,3068,N/A,3300,3278,3210,17427500,35871500,40749550,N/A,-4484982,-10.96,48.24,113.07,11.44,-60148900
2001-10-16,3160,3230,3160,3180,-0.62%,3160,3055,N/A,3230,3205,3170,15620850,31069100,38543145,N/A,-4582612,-9.87,47.65,113.17,15.41,-75769750
2001-10-17,3260,3300,3230,3280,3.14%,3220,3050,N/A,3240,3188,3170,28596300,33417170,38313995,N/A,-3683357,-8.68,50.78,117.14,20.23,-47173450
2001-10-18,3230,3260,3170,3260,-0.61%,3236,3048,N/A,3325,3272,3255,21853850,26153550,37984055,N/A,-3816613,-7.54,50.15,112.03,24.14,-69027300
2001-10-19,3300,3410,3260,3400,4.29%,3264,3051,3522,3305,3238,3215,41555000,25010700,38818195,29093587,-2032042,-6.07,54.35,115.25,29.22,-27472300
2001-10-22,3460,3470,3330,3390,-0.29%,3302,3056,3521,3480,3368,3330,18732550,25271710,38676872,29047735,-2087138,-4.62,54.01,116.1,34.32,-46204850
2001-10-23,3500,3530,3450,3480,2.65%,3362,3076,3520,3430,3395,3290,39580050,30063550,37586695,29358918,-1036340,-2.87,56.61,114.85,40.11,-6624800
2001-10-24,3560,3710,3550,3710,6.61%,3448,3120,3521,3505,3485,3425,56117050,35567700,37121640,29929750,2672546,-0.19,62.35,124.5,49.33,49492250
2001-10-25,3700,3700,3620,3660,-1.35%,3528,3154,3520,3790,3670,3630,27613950,36719720,35653300,29909945,2300390,1.99,60.51,115.09,57.18,21878300
2001-10-26,3660,3690,3580,3620,-1.09%,3572,3192,3518,3680,3660,3600,47823350,37973390,35941015,30372743,1777730,4.02,59.04,111.04,65.34,-25945050
2001-10-29,3660,3700,3610,3680,1.66%,3630,3235,3517,3655,3628,3545,25484600,39323800,35551320,30426933,2200127,5.46,60.56,115,70.6,-460450
2001-10-30,3540,3580,3470,3480,-5.43%,3630,3268,3509,3735,3668,3645,33827200,38173230,35417655,30026068,361692,6.99,53.58,109.43,77.34,-34287650
2001-10-31,3410,3480,3410,3470,-0.29%,3582,3302,3501,3530,3502,3420,28982400,32746300,34502488,29979241,278409,8.28,53.25,105.79,84.08,-63270050
2001-11-01,3540,3630,3480,3580,3.17%,3566,3336,3494,3510,3458,3440,34297250,34082960,32970920,30004244,1365642,9.41,56.32,109.82,88.99,-28972800
