,Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
0,2001-10-19,5892,5990,5643,5705,-4.33%,5625.0,5253.0,5785.0,6435.0,5927.0,5758.0,4792935.0,7131680.0,7855480.0,5142015.0,3778358.0,1.01,52.69,111.09,54.87,32087760.0
1,2001-10-22,5794,5821,5607,5723,0.31%,5684.0,5291.0,5780.0,5847.0,5761.0,5500.0,2654345.0,6651691.0,7493431.0,5076213.0,3786640.0,2.53,52.9,114.82,62.18,34742105.0
2,2001-10-23,5785,5830,5536,5580,-2.49%,5707.0,5326.0,5776.0,5772.0,5718.0,5558.0,2949110.0,6120253.0,7469094.0,5077402.0,3713256.0,3.87,50.97,105.2,70.05,31792995.0
3,2001-10-24,5509,5999,5509,5678,1.75%,5730.0,5337.0,5775.0,5705.0,5631.0,5411.0,9775000.0,7381446.0,7542508.0,5198368.0,3884747.0,5.01,52.24,110.96,75.72,41567995.0
4,2001-10-25,5696,5749,5474,5554,-2.19%,5648.0,5347.0,5772.0,6083.0,5716.0,5594.0,2540060.0,4542290.0,6639776.0,5206144.0,3829010.0,5.9,50.49,106.48,80.66,39027935.0
5,2001-10-26,5643,5669,5465,5527,-0.48%,5612.0,5381.0,5771.0,5652.0,5583.0,5376.0,1386110.0,3860925.0,6271638.0,5207314.0,3822346.0,6.91,50.11,101.47,89.26,37641825.0
6,2001-10-29,5429,5571,5411,5420,-1.93%,5552.0,5412.0,5768.0,5598.0,5547.0,5393.0,1782425.0,3686541.0,6128623.0,5213646.0,3787903.0,7.16,48.57,99.84,92.12,35859400.0
7,2001-10-30,5322,5376,5198,5215,-3.78%,5479.0,5429.0,5755.0,5496.0,5456.0,5336.0,1468790.0,3390477.0,6014225.0,5141856.0,3732431.0,7.07,45.72,95.44,91.46,34390610.0
8,2001-10-31,5171,5411,5144,5278,1.19%,5399.0,5441.0,5744.0,5296.0,5251.0,5118.0,2009120.0,1837301.0,5543370.0,5143998.0,3756431.0,6.22,46.72,94.88,87.84,36399730.0
9,2001-11-01,5278,5634,5251,5349,1.35%,5358.0,5433.0,5734.0,5478.0,5278.0,5211.0,3781245.0,2085538.0,5286607.0,5181260.0,3807442.0,4.33,47.88,89.7,78.97,40180975.0
